Id,Qual é o seu departamento?,Há quanto tempo você faz parte do grupo UOL?,Qual lanche você prefere?,Qual bebida você prefere?,Em que cidade você mora?,Qual o seu método de comunicação preferido no trabalho?,Qual o seu hobby preferido?,Qual seu gênero preferido de música? (Pode marcar mais de um),Qual seu turno de preferência para reuniões de trabalho?,Qual seu gênero de filme preferido? (Pode marcar mais de um),"Se você pudesse viajar para qualquer lugar, para onde iria?"
196,Parcerias,4-6 anos,Bolo,Suco de Frutas,Porto Alegre - RS,E-mail,Esportes,Eletrônica,Começo da tarde,Ficção Científica;Comédia,Chile
197,RH,4-6 anos,Pão de Queijo,Suco de Frutas,RJ,Telefone,Esportes,Rock,Final da tarde,Comédia,Tramandaí
198,RH,4-6 anos,Sanduíche,Suco de Frutas,Belo Horizonte,Chat,Jogos,Eletrônica;Jazz;Rock,Começo da tarde,Ação,Tramandaí
199,Operações,<1 ano,Sanduíche,Café,SP,Chat,Viajar,Funk,Final da tarde,Documentário,Amsterdam
200,Marketing,10+ anos,Bolo,Suco de Frutas,São Paulo,Telefone,Leitura,Funk;Clássica,Começo da tarde,Drama;Ficção Científica;Animação,USA
201,P&D,4-6 anos,Bolo,Café,BH,E-mail,Leitura,Rock;Rap;Funk,Começo da tarde,Drama,Bariloche
202,P&D,<1 ano,Fruta,Chocolate quente,BH,Reuniões,Viajar,Clássica;MPB;Eletrônica;Sertanejo,Manhã,Comédia,Europa
203,Produtos Digitais,4-6 anos,Sanduíche,Café,Belo Horizonte,Chat,Jogos,Pop,Começo da tarde,Terror;Documentário,China
204,Conteúdo,1-3 anos,Sanduíche,Chocolate quente,Rio de Janeiro,Chat,Viajar,Pop,Começo da tarde,Ficção Científica,China
205,Parcerias,10+ anos,Salada de frutas,Suco de Frutas,SP,Telefone,Leitura,Clássica,Manhã,Drama;Ficção Científica,Tramandaí
206,Jurídico,<1 ano,Pão de Queijo,Suco de Frutas,Rio de Janeiro,Chat,Leitura,MPB,Final da tarde,Comédia,Madrid
207,Financeiro,<1 ano,Sanduíche,Suco de Frutas,São Paulo,Chat,Leitura,Rap,Começo da tarde,Ação,USA
208,Parcerias,7-10 anos,Fruta,Chá,POA,Reuniões,Esportes,Sertanejo,Final da tarde,Ação;Documentário,USA
209,P&D,4-6 anos,Pão de Queijo,Suco de Frutas,POA,Chat,Leitura,MPB,Começo da tarde,Terror,Amazonas
210,Parcerias,1-3 anos,Sanduíche,Café,Porto Alegre,Reuniões,Cozinhar,Sertanejo;Eletrônica;Rap,Começo da tarde,Ficção Científica,China
211,Host,<1 ano,Pão de Queijo,Café,SP,Chat,Leitura,Pop;Rock,Começo da tarde,Comédia,EUA
212,Parcerias,10+ anos,Salada de frutas,Café,SP,Chat,Viajar,MPB;Eletrônica;Clássica,Final da tarde,Animação,Madrid
213,P&D,4-6 anos,Salada de frutas,Chocolate quente,Belo Horizonte,Chat,Leitura,Jazz;MPB,Final da tarde,Ficção Científica,Europa
214,Marketing,1-3 anos,Salada de frutas,Chocolate quente,São Paulo,E-mail,Viajar,Pop,Manhã,Ficção Científica;Drama,Amazonas
215,Data & Analytics,10+ anos,Sanduíche,Café,Porto Alegre,E-mail,Jogos,Jazz,Final da tarde,Drama,Itália
216,Conteúdo,1-3 anos,Sanduíche,Chá,BH,Chat,Viajar,Sertanejo,Começo da tarde,Ação,Amazonas
217,Data & Analytics,<1 ano,Salada de frutas,Suco de Frutas,Rio de Janeiro,E-mail,Jogos,Clássica,Final da tarde,Documentário;Drama,Bariloche
218,Host,1-3 anos,Bolo,Leite,Rio de Janeiro,Chat,Esportes,Rap,Começo da tarde,Documentário;Drama,Madrid
219,Produtos Digitais,4-6 anos,Pão de Queijo,Café,Porto Alegre,Telefone,Jogos,Pop,Começo da tarde,Comédia,EUA
220,Atendimento,7-10 anos,Bolo,Suco de Frutas,Porto Alegre,Reuniões,Leitura,Funk,Começo da tarde,Comédia,Bariloche
221,P&D,4-6 anos,Salada de frutas,Café,POA,Chat,Jogos,Clássica,Final da tarde,Drama,Amazonas
222,Inovação,7-10 anos,Bolo,Suco de Frutas,Belo Horizonte,E-mail,Viajar,Funk,Começo da tarde,Romance;Terror;Ficção Científica,Amsterdam
223,Marketing,1-3 anos,Salada de frutas,Água,SP,Reuniões,Esportes,MPB,Manhã,Animação,Madrid
224,P&D,<1 ano,Pão de Queijo,Café,BH,E-mail,Esportes,Sertanejo,Começo da tarde,Animação;Terror,China
225,Data & Analytics,1-3 anos,Pão de Queijo,Café,Belo Horizonte,Chat,Leitura,Clássica,Começo da tarde,Ação,Itália
226,Operações,7-10 anos,Sanduíche,Água,Rio de Janeiro,Telefone,Jogos,Funk,Final da tarde,Ação,Amazonas
227,Operações,<1 ano,Bolo,Café,SP,Chat,Cozinhar,Rock;Jazz;Rap,Começo da tarde,Romance,Chile
228,RH,<1 ano,Sanduíche,Água,Rio de Janeiro,Telefone,Jogos,Jazz;Eletrônica,Começo da tarde,Drama,Bariloche
229,Atendimento,10+ anos,Bolo,Chocolate quente,Rio de Janeiro,Chat,Viajar,Rock,Começo da tarde,Documentário,Bariloche
230,Atendimento,4-6 anos,Salada de frutas,Café,Porto Alegre - RS,Reuniões,Viajar,Jazz,Manhã,Terror;Documentário;Drama;Ação;Comédia;Romance,Madrid
231,Operações,1-3 anos,Fruta,Suco de Frutas,SP,E-mail,Viajar,Sertanejo;Rap;Clássica,Manhã,Ficção Científica;Terror;Comédia,Amazonas
232,RH,10+ anos,Pão de Queijo,Chocolate quente,POA,Reuniões,Viajar,Sertanejo;Clássica,Começo da tarde,Ação;Drama;Terror,Itália
233,Financeiro,1-3 anos,Pão de Queijo,Café,RJ,E-mail,Esportes,MPB;Sertanejo,Final da tarde,Terror;Comédia,Toyko
234,Conteúdo,1-3 anos,Sanduíche,Leite,Porto Alegre,E-mail,Viajar,Pop,Começo da tarde,Terror;Drama,Madrid
235,Publicidade,<1 ano,Sanduíche,Café,BH,E-mail,Viajar,Clássica,Começo da tarde,Animação;Documentário,Madrid
236,Marketing,7-10 anos,Bolo,Café,Porto Alegre,Chat,Leitura,Funk,Final da tarde,Romance,Tramandaí
237,Produtos Digitais,<1 ano,Bolo,Suco de Frutas,BH,E-mail,Leitura,MPB;Rock,Final da tarde,Drama;Ação,Europa
238,Parcerias,4-6 anos,Pão de Queijo,Chocolate quente,BH,Chat,Esportes,Sertanejo,Manhã,Drama,China
239,Operações,7-10 anos,Bolo,Chocolate quente,Porto Alegre - RS,E-mail,Cozinhar,Pop,Começo da tarde,Terror,Europa
240,Jurídico,<1 ano,Pão de Queijo,Suco de Frutas,Belo Horizonte,E-mail,Jogos,MPB,Começo da tarde,Romance,Amazonas
241,Financeiro,7-10 anos,Fruta,Chocolate quente,RJ,E-mail,Jogos,Clássica,Começo da tarde,Terror,Chile
242,Ingresso.com,1-3 anos,Sanduíche,Café,BH,Reuniões,Leitura,Rock,Manhã,Drama,China
243,Segurança,<1 ano,Bolo,Café,POA,Chat,Leitura,MPB,Começo da tarde,Romance,Itália
244,RH,<1 ano,Fruta,Suco de Frutas,Belo Horizonte,Chat,Viajar,Jazz;Pop;Sertanejo,Começo da tarde,Drama,Chile
245,Jurídico,1-3 anos,Bolo,Leite,Porto Alegre - RS,E-mail,Leitura,MPB;Rock,Começo da tarde,Romance,Itália
246,Data & Analytics,1-3 anos,Bolo,Café,Porto Alegre,Reuniões,Jogos,Rock,Começo da tarde,Drama,Europa
247,Financeiro,4-6 anos,Salada de frutas,Chocolate quente,Belo Horizonte,Chat,Jogos,Pop,Começo da tarde,Ação,Amsterdam
248,Publicidade,<1 ano,Fruta,Suco de Frutas,RJ,Telefone,Viajar,Clássica;Funk;Rap,Começo da tarde,Terror,USA
249,Produtos Digitais,7-10 anos,Bolo,Suco de Frutas,POA,Chat,Esportes,Eletrônica,Final da tarde,Ficção Científica,Amsterdam
250,Inovação,4-6 anos,Bolo,Suco de Frutas,Porto Alegre - RS,Reuniões,Jogos,Rap,Começo da tarde,Drama;Animação,Tramandaí
251,RH,4-6 anos,Bolo,Chá,São Paulo,Chat,Leitura,Jazz,Manhã,Ação;Romance;Ficção Científica;Drama,Bariloche
252,Inovação,10+ anos,Sanduíche,Suco de Frutas,POA,Telefone,Leitura,Rap,Manhã,Documentário;Terror,EUA
253,RH,7-10 anos,Pão de Queijo,Água,Rio de Janeiro,Reuniões,Leitura,MPB,Final da tarde,Ficção Científica,Madrid
254,RH,4-6 anos,Salada de frutas,Chocolate quente,SP,Reuniões,Viajar,Clássica;Eletrônica,Começo da tarde,Romance,USA
255,Atendimento,<1 ano,Fruta,Chá,POA,Chat,Viajar,Rap,Começo da tarde,Ação;Comédia;Terror;Animação,Toyko
256,Host,7-10 anos,Pão de Queijo,Leite,SP,Chat,Jogos,Rock,Começo da tarde,Terror;Documentário,EUA
257,Inovação,1-3 anos,Pão de Queijo,Café,Porto Alegre - RS,Reuniões,Cozinhar,Jazz,Começo da tarde,Documentário,Chile
258,Jurídico,1-3 anos,Bolo,Chá,POA,Reuniões,Cozinhar,Sertanejo,Começo da tarde,Romance;Documentário;Animação,USA
259,Marketing,7-10 anos,Fruta,Chocolate quente,Porto Alegre - RS,Reuniões,Jogos,Clássica;MPB;Rap;Rock,Começo da tarde,Comédia,Bariloche
260,Marketing,<1 ano,Sanduíche,Chocolate quente,Porto Alegre - RS,Reuniões,Viajar,Eletrônica,Começo da tarde,Documentário,Tramandaí
261,Data & Analytics,4-6 anos,Sanduíche,Chocolate quente,SP,Reuniões,Jogos,Rock,Final da tarde,Terror;Romance;Ação;Drama,Amsterdam
262,Inovação,<1 ano,Bolo,Chá,BH,Reuniões,Leitura,Funk;Clássica;Rap,Começo da tarde,Romance,Amazonas
263,Conteúdo,<1 ano,Pão de Queijo,Suco de Frutas,Porto Alegre - RS,Chat,Jogos,Clássica,Começo da tarde,Terror;Romance,Chile
264,Host,<1 ano,Salada de frutas,Chá,Rio de Janeiro,Reuniões,Viajar,MPB,Começo da tarde,Romance,EUA
265,Marketing,1-3 anos,Salada de frutas,Café,SP,Reuniões,Leitura,Sertanejo;Pop,Começo da tarde,Romance,Amsterdam
266,Financeiro,10+ anos,Sanduíche,Café,RJ,Chat,Cozinhar,Pop;Clássica,Começo da tarde,Drama,Tramandaí
267,Produtos Digitais,<1 ano,Pão de Queijo,Chá,Rio de Janeiro,Chat,Cozinhar,Eletrônica,Começo da tarde,Animação,Toyko
268,Jurídico,<1 ano,Salada de frutas,Suco de Frutas,Rio de Janeiro,Telefone,Leitura,Funk,Manhã,Ação,Toyko
269,Ingresso.com,7-10 anos,Fruta,Suco de Frutas,POA,Telefone,Esportes,Eletrônica,Manhã,Comédia,Itália
270,Data & Analytics,4-6 anos,Salada de frutas,Água,POA,Chat,Viajar,Eletrônica,Final da tarde,Comédia,USA
271,Publicidade,4-6 anos,Fruta,Suco de Frutas,Porto Alegre,Reuniões,Cozinhar,Pop;Clássica,Final da tarde,Comédia,China
272,Jurídico,4-6 anos,Pão de Queijo,Chocolate quente,POA,Reuniões,Cozinhar,Rock,Começo da tarde,Romance,Amsterdam
273,Publicidade,4-6 anos,Fruta,Suco de Frutas,São Paulo,Chat,Jogos,Funk;Rock,Começo da tarde,Ficção Científica,Europa
274,Parcerias,7-10 anos,Fruta,Suco de Frutas,BH,Telefone,Esportes,MPB,Começo da tarde,Documentário,USA
275,Host,<1 ano,Pão de Queijo,Café,Belo Horizonte,Chat,Esportes,Rock,Final da tarde,Ação,Madrid
276,Segurança,1-3 anos,Fruta,Leite,BH,Chat,Viajar,Jazz,Começo da tarde,Comédia,USA
277,Financeiro,7-10 anos,Sanduíche,Chocolate quente,RJ,Reuniões,Cozinhar,Funk,Manhã,Ação;Romance,Madrid
278,Produtos Digitais,4-6 anos,Fruta,Chocolate quente,Rio de Janeiro,Telefone,Leitura,Rap,Manhã,Comédia;Ficção Científica,EUA
279,P&D,4-6 anos,Sanduíche,Leite,RJ,Chat,Leitura,Rock,Começo da tarde,Ação;Drama;Comédia,Madrid
280,Parcerias,4-6 anos,Pão de Queijo,Suco de Frutas,SP,E-mail,Leitura,Funk,Final da tarde,Ação,Amsterdam
281,Atendimento,4-6 anos,Sanduíche,Suco de Frutas,Porto Alegre,Telefone,Viajar,Sertanejo;Eletrônica,Manhã,Animação;Romance;Ficção Científica;Terror,Toyko
282,Jurídico,<1 ano,Salada de frutas,Café,POA,E-mail,Leitura,Funk;Clássica,Manhã,Documentário;Ação;Terror,Amazonas
283,RH,4-6 anos,Pão de Queijo,Café,SP,Chat,Leitura,Rap,Manhã,Drama,USA
284,Data & Analytics,4-6 anos,Bolo,Café,BH,Chat,Esportes,Rock;Jazz,Começo da tarde,Animação,Bariloche
285,Atendimento,4-6 anos,Bolo,Suco de Frutas,RJ,Chat,Leitura,MPB,Começo da tarde,Ação,Tramandaí
286,Inovação,4-6 anos,Pão de Queijo,Chocolate quente,POA,Reuniões,Leitura,Sertanejo,Começo da tarde,Documentário,Bariloche
287,Ingresso.com,4-6 anos,Salada de frutas,Suco de Frutas,Porto Alegre - RS,Telefone,Viajar,Pop;Clássica;Funk,Começo da tarde,Comédia;Ação,Tramandaí
288,Conteúdo,7-10 anos,Pão de Queijo,Suco de Frutas,Porto Alegre,Reuniões,Viajar,Rap,Final da tarde,Ação,USA
289,Marketing,7-10 anos,Sanduíche,Chá,Belo Horizonte,Telefone,Viajar,Rap;Clássica;Funk,Começo da tarde,Documentário,Bariloche
290,P&D,<1 ano,Sanduíche,Chocolate quente,Rio de Janeiro,Telefone,Viajar,Rap,Final da tarde,Documentário,Itália
291,Inovação,<1 ano,Salada de frutas,Chocolate quente,SP,Chat,Leitura,Clássica;Pop;Eletrônica;Funk,Final da tarde,Ficção Científica;Romance,Amazonas
292,Segurança,<1 ano,Salada de frutas,Chocolate quente,SP,Chat,Cozinhar,Jazz,Final da tarde,Ação;Documentário;Terror,Itália
293,Produtos Digitais,4-6 anos,Pão de Queijo,Café,Porto Alegre - RS,Chat,Leitura,Funk,Começo da tarde,Documentário,EUA
294,Inovação,1-3 anos,Sanduíche,Água,SP,E-mail,Viajar,MPB,Começo da tarde,Ação,Amsterdam
295,Financeiro,<1 ano,Sanduíche,Café,POA,Chat,Viajar,Funk,Começo da tarde,Drama,Amazonas
296,Parcerias,4-6 anos,Pão de Queijo,Café,Rio de Janeiro,Telefone,Esportes,Funk,Começo da tarde,Drama;Ação;Animação,Chile
297,Inovação,<1 ano,Sanduíche,Café,Rio de Janeiro,Chat,Jogos,Clássica,Manhã,Ficção Científica,USA
298,Inovação,4-6 anos,Sanduíche,Café,São Paulo,Chat,Leitura,Pop,Começo da tarde,Terror,Toyko
299,Ingresso.com,10+ anos,Salada de frutas,Café,Porto Alegre - RS,Chat,Leitura,MPB,Começo da tarde,Terror;Romance,Bariloche
